train_mssg,train_spam
"['coming', 'whatever', 'want']",ham
"['keep', 'safe', 'need', 'miss', 'already', 'envy', 'everyone', 'see', 'real', 'life']",ham
"['received', 'understood', 'n', 'acted', 'upon']",ham
"['little', 'difficult', 'simple', 'way', 'enter', 'place']",ham
"['x', 'course', '2yrs', 'message', 'messenger', 'lik', 'r', 'sending']",ham
"['heard', 'u4', 'call', '4', 'rude', 'chat', 'private', 'line', '01223585334', 'cum', 'wan', '2c', 'pic', 'gettin', 'shagged', 'text', 'pix', '8552', '2end', 'send', 'stop', '8552', 'sam', 'xxx']",spam
"['going', 'take', 'bath', 'ill', 'place', 'key', 'window']",ham
"['ok', 'least', 'armand', 'still', 'around']",ham
"['sister', 'cleared', 'two', 'round', 'birla', 'soft', 'yesterday']",ham
"['alrite', 'jod', 'hows', 'revision', 'goin', 'keris', 'bin', 'doin', 'smidgin', 'n', 'e', 'way', 'u', 'wanna', 'cum', 'college', 'xx']",ham
"['ill', 'obey']",ham
"['urgent', '4', 'costa', 'del', 'sol', 'holiday', '5000', 'await', 'collection', 'call', '09050090044', 'toclaim', 'sae', 'tc', 'pobox334', 'stockport', 'sk38xh', 'cost', '1', '50', 'pm', 'max10mins']",spam
"['hello', 'damn', 'christmas', 'thing', 'think', 'decided', 'keep', 'mp3', 'doesnt', 'work']",ham
"['hi', 'kindly', 'give', 'u', 'back', 'document', 'submitted', 'loan', 'stapati']",ham
"['dear', 'cherthala', 'case', 'u', 'r', 'coming', 'cochin', 'pls', 'call', 'bfore', 'u', 'start', 'shall', 'also', 'reach', 'accordingly', 'tell', 'day', 'u', 'r', 'coming', 'tmorow', 'engaged', 'an', 'holiday']",ham
"['get', '3', 'lions', 'england', 'tone', 'reply', 'lionm', '4', 'mono', 'lionp', '4', 'poly', '4', 'go', '2', 'www', 'ringtones', 'co', 'uk', 'original', 'n', 'best', 'tones', '3gbp', 'network', 'operator', 'rate', 'apply']",spam
"['pain', 'come', 'worse', 'time']",ham
"['indeed', 'way', 'either']",ham
"['ola', 'would', 'get', 'back', 'maybe', 'today', 'told', 'direct', 'link', 'us', 'getting', 'car', 'bid', 'online', 'arrange', 'shipping', 'get', 'cut', 'u', 'partnership', 'u', 'invest', 'money', 'shipping', 'take', 'care', 'rest', 'u', 'wud', 'b', 'self', 'reliant', 'soon', 'dnt', 'worry']",ham
"['sms', 'auction', 'nokia', '7250i', 'get', 'win', 'free', 'auction', 'take', 'part', 'send', 'nokia', '86021', 'hg', 'suite342', '2lands', 'row', 'w1jhl', '16']",spam
"['good', 'afternoon', 'love', 'go', 'day', 'hope', 'maybe', 'got', 'lead', 'job', 'think', 'boytoy', 'send', 'passionate', 'kiss', 'across', 'sea']",ham
"['ho', 'ho', 'big', 'belly', 'laugh', 'see', 'ya', 'tomo']",ham
"['hear', 'new', 'divorce', 'barbie', 'come', 'ken', 'stuff']",spam
"['happy', 'birthday', 'dear', 'lot', 'love', 'rakhesh', 'nri']",ham
"['k', 'k', 'apo', 'k', 'good', 'movie']",ham
